household_id,number_persons,district,household_type_theoretical,household_type_generated,member_count,nucleus_member_refs,house_building_name,house_building_type
HH_1,3 personas,Norte,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_0|Person_1|Person_2,Madrid,city
HH_2,2 personas,Zarzaquemada,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_3|Person_4,Madrid,city
HH_3,4 personas,Sur,Otro tipo de hogar,Otro tipo de hogar,4,Person_5|Person_6|Person_7|Person_8,Extremadura,city
HH_4,3 personas,San Nicasio,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_9|Person_10|Person_11,,semidetached_house
HH_5,4 personas,Zarzaquemada,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,Person_12|Person_13|Person_14|Person_15,,apartments
HH_6,2 personas,Sur,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_16|Person_17,,apartments
HH_7,2 personas,Norte,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_18|Person_19,,yes
HH_8,1 persona,Carrascal,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_20,,detached
HH_9,3 personas,Zarzaquemada,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),3,Person_21|Person_22|Person_23,,residential
HH_10,2 personas,Polvoranca,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Person_24|Person_25,,house
HH_11,1 persona,Polvoranca,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Person_26,Madrid,city
HH_12,3 personas,San Nicasio,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,3,Person_27|Person_28|Person_29,,residential
HH_13,5 o mas personas,Norte,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,5,Person_30|Person_31|Person_32|Person_33|Person_34,,yes
HH_14,2 personas,Norte,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,2,Person_35|Person_36,,apartments
HH_15,5 o mas personas,Fortuna,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),5,Person_37|Person_38|Person_39|Person_40|Person_41,,yes
