household_id,person_name,gender,age,age_range,father_name,mother_name,partner_name,children_count,living_place_name,working_place_name
HH_1,Person_0,male,1,0-4,,Person_2,,0,,
HH_1,Person_1,male,7,5-9,,Person_2,,0,,
HH_1,Person_2,female,37,35-39,,,,2,,Madrid
HH_2,Person_3,female,51,50-54,,Person_4,,0,,Madrid
HH_2,Person_4,female,80,80-84,,,,1,,
HH_3,Person_5,female,40,40-44,,,,0,,
HH_3,Person_6,male,83,80-84,,,,0,,
HH_4,Person_7,female,20,20-24,Person_9,,,0,,Madrid
HH_4,Person_8,female,29,25-29,Person_9,,,0,,Madrid
HH_4,Person_9,male,66,65-69,,,Person_10,2,,
HH_4,Person_10,male,59,55-59,,,Person_9,0,,Madrid
HH_5,Person_11,female,73,70-74,,,,0,Madrid,
HH_6,Person_12,female,97,95-99,,,,0,,
HH_7,Person_13,female,89,85-89,,,,0,,
HH_8,Person_14,male,65,65-69,,,,0,,
HH_9,Person_15,male,74,70-74,,,,0,,
HH_9,Person_16,female,72,70-74,,,,0,,
HH_9,Person_17,female,68,65-69,,,,0,,
HH_9,Person_18,male,66,65-69,,,,0,,
HH_10,Person_19,female,93,90-94,,,,0,,
HH_11,Person_20,female,88,85-89,,,,0,Alcorcon,
HH_12,Person_21,female,27,25-29,,,,0,,Madrid
HH_12,Person_22,male,31,30-34,,,,0,,Madrid
HH_13,Person_23,male,88,85-89,,,,0,Madrid,
HH_13,Person_24,female,63,60-64,,,,0,Madrid,
HH_14,Person_25,female,72,70-74,,,,0,,
HH_15,Person_26,male,3,0-4,,Person_30,,0,Toyota,
HH_15,Person_27,male,11,10-14,,Person_30,,0,Toyota,Edificio Juan de Mairena
HH_15,Person_28,male,5,5-9,,Person_30,,0,Toyota,
HH_15,Person_29,male,6,5-9,,Person_30,,0,Toyota,
HH_15,Person_30,female,45,45-49,,,,4,Toyota,Madrid
HH_16,Person_31,male,28,25-29,Person_32,,,0,,Edificio Agustín de Betancourt
HH_16,Person_32,male,43,40-44,,,,1,,Madrid
HH_17,Person_33,male,60,60-64,,,,0,,Madrid
HH_17,Person_34,male,60,60-64,,,,0,,Madrid
HH_18,Person_35,female,24,20-24,,Person_39,,0,,Biblioteca Rey Pastor
HH_18,Person_36,male,11,10-14,,Person_39,,0,,
HH_18,Person_37,female,3,0-4,,Person_39,,0,,
HH_18,Person_38,male,27,25-29,,Person_39,,0,,Madrid
HH_18,Person_39,female,52,50-54,,,,4,,Madrid
HH_19,Person_40,male,70,70-74,,,,0,,
HH_20,Person_41,female,4,0-4,,Person_45,,0,Sambil Outlet Madrid,Escuela Infantil Rosa Caramelo
HH_20,Person_42,male,13,10-14,,Person_45,,0,Sambil Outlet Madrid,
HH_20,Person_43,male,3,0-4,,Person_45,,0,Sambil Outlet Madrid,
HH_20,Person_44,male,13,10-14,,Person_45,,0,Sambil Outlet Madrid,
HH_20,Person_45,female,46,45-49,,,,4,Sambil Outlet Madrid,Madrid
HH_21,Person_46,male,23,20-24,,Person_48,,0,,Alcorcon
HH_21,Person_47,male,33,30-34,,Person_48,,0,,Alcorcon
HH_21,Person_48,female,59,55-59,,,Person_49,2,,Madrid
HH_21,Person_49,female,83,80-84,,,Person_48,0,,
HH_22,Person_50,male,37,35-39,Person_51,,,0,,Madrid
HH_22,Person_51,male,55,55-59,,,,1,,Madrid
HH_23,Person_52,male,18,15-19,Person_53,,,0,,
HH_23,Person_53,male,43,40-44,,,Person_54,1,,Madrid
HH_23,Person_54,male,38,35-39,,,Person_53,0,,Alcorcon
HH_24,Person_55,male,5,5-9,,Person_57,,0,,
HH_24,Person_56,female,31,30-34,,Person_57,,0,,
HH_24,Person_57,female,63,60-64,,,Person_58,2,,Madrid
HH_24,Person_58,female,84,80-84,,,Person_57,0,,
HH_25,Person_59,female,63,60-64,,,,0,Fuenlabrada,
HH_26,Person_60,female,19,15-19,Person_63,,,0,,Madrid
HH_26,Person_61,female,20,20-24,Person_63,,,0,,Edificio Torres Quevedo
HH_26,Person_62,male,28,25-29,Person_63,,,0,,Madrid
HH_26,Person_63,male,61,60-64,,,,3,,Alcorcon
HH_27,Person_64,female,31,30-34,,,,0,,Madrid
HH_28,Person_65,female,42,40-44,,,,0,,Madrid
HH_28,Person_66,male,38,35-39,,,,0,,Madrid
HH_29,Person_67,male,84,80-84,,,,0,,
HH_30,Person_68,male,59,55-59,,,,0,,Madrid
HH_31,Person_69,female,28,25-29,,,,0,,Madrid
HH_31,Person_70,female,57,55-59,,,,0,,Madrid
HH_32,Person_71,male,43,40-44,,,,0,Alcorcon,
HH_32,Person_72,male,31,30-34,,,,0,Alcorcon,Hospital Severo Ochoa
HH_33,Person_73,male,17,15-19,Person_75,,,0,Mas Automoviles,
HH_33,Person_74,male,35,35-39,Person_75,,,0,Mas Automoviles,
HH_33,Person_75,male,50,50-54,,,Person_76,2,Mas Automoviles,Madrid
HH_33,Person_76,male,49,45-49,,,Person_75,0,Mas Automoviles,Madrid
HH_34,Person_77,female,50,50-54,,,,0,,Madrid
HH_34,Person_78,male,24,20-24,,,,0,,Madrid
HH_35,Person_79,male,10,10-14,,Person_81,,0,,
HH_35,Person_80,female,26,25-29,,Person_81,,0,,Edificio Torres Quevedo
HH_35,Person_81,female,53,50-54,,,Person_82,2,,Madrid
HH_35,Person_82,female,44,40-44,,,Person_81,0,,Madrid
HH_36,Person_83,female,71,70-74,,,,0,,
HH_36,Person_84,male,38,35-39,,,,0,,Madrid
HH_37,Person_85,female,33,30-34,Person_86,,,0,,Madrid
HH_37,Person_86,male,71,70-74,,,Person_87,1,,
HH_37,Person_87,male,40,40-44,,,Person_86,0,,
HH_38,Person_88,female,86,85-89,,,,0,Madrid,
HH_38,Person_89,female,37,35-39,,,,0,Madrid,
HH_39,Person_90,male,16,15-19,Person_91,,,0,,
HH_39,Person_91,male,43,40-44,,,Person_92,1,,Madrid
HH_39,Person_92,male,32,30-34,,,Person_91,0,,Madrid
