household_id,number_persons,district,household_type_theoretical,household_type_generated,member_count,house_building_name,house_building_type
HH_1,3 personas,Carrascal,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),3,,yes
HH_2,2 personas,Zarzaquemada,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,2,,residential
HH_3,2 personas,San Nicasio,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,,semidetached_house
HH_4,4 personas,Norte,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,4,,yes
HH_5,1 persona,San Nicasio,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Madrid,city
HH_6,1 persona,Sur,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,,yes
HH_7,1 persona,Fortuna,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,,yes
HH_8,1 persona,Polvoranca,Hogar con un hombre solo de 65 años o más,Hogar con un hombre solo de 65 años o más,1,,semidetached_house
HH_9,4 personas,Polvoranca,Otro tipo de hogar,Otro tipo de hogar,4,,house
HH_10,1 persona,Fortuna,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,,yes
HH_11,1 persona,Polvoranca,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,Alcorcon,city
HH_12,2 personas,Zarzaquemada,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,,apartments
HH_13,2 personas,San Nicasio,Hogar formado por pareja sin hijos,Hogar formado por pareja sin hijos,2,Madrid,city
HH_14,1 persona,San Nicasio,Hogar con una mujer sola de 65 años o más,Hogar con una mujer sola de 65 años o más,1,,yes
HH_15,5 o mas personas,Sur,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),5,Toyota,yes
