metric_group,metric_name,metric_value,metric_unit,source
population,total_people,10000,count,simulation
population,total_households,3901,count,simulation
population,total_workers,7631,count,simulation
household_size_count,1 persona,869,count,simulation
household_size_count,2 personas,1190,count,simulation
household_size_count,3 personas,867,count,simulation
household_size_count,4 personas,725,count,simulation
household_size_count,5 o mas personas,250,count,simulation
household_size,1 persona,0.22276339400153808,share,simulation
household_size,2 personas,0.30504998718277365,share,simulation
household_size,3 personas,0.22225070494744936,share,simulation
household_size,4 personas,0.185849782107152,share,simulation
household_size,5 o mas personas,0.0640861317610869,share,simulation
household_type_count,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),255,count,simulation
household_type,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),0.06536785439630864,share,simulation
household_type_count,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,193,count,simulation
household_type,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,0.04947449371955909,share,simulation
household_type_count,Hogar formado por pareja sin hijos,808,count,simulation
household_type,Hogar formado por pareja sin hijos,0.20712637785183285,share,simulation
household_type_count,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,975,count,simulation
household_type,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,0.2499359138682389,share,simulation
household_type_count,Hogar con una mujer sola de 65 años o más,332,count,simulation
household_type,Hogar con una mujer sola de 65 años o más,0.0851063829787234,share,simulation
household_type_count,Hogar con un hombre solo de 65 años o más,95,count,simulation
household_type,Hogar con un hombre solo de 65 años o más,0.024352730069213024,share,simulation
household_type_count,Otro tipo de hogar,270,count,simulation
household_type,Otro tipo de hogar,0.06921302230197385,share,simulation
household_type_count,Hogar con una mujer sola menor de 65 años,200,count,simulation
household_type,Hogar con una mujer sola menor de 65 años,0.05126890540886952,share,simulation
household_type_count,Hogar con un hombre solo menor de 65 años,242,count,simulation
household_type,Hogar con un hombre solo menor de 65 años,0.06203537554473212,share,simulation
household_type_count,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,299,count,simulation
household_type,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,0.07664701358625993,share,simulation
household_type_count,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,232,count,simulation
household_type,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,0.05947193027428865,share,simulation
gender_count,male,4843,count,simulation
gender,male,0.4843,share,simulation
gender_count,female,5157,count,simulation
gender,female,0.5157,share,simulation
age_range_count,0-4,523,count,simulation
age_range,0-4,0.0523,share,simulation
age_range_count,5-9,496,count,simulation
age_range,5-9,0.0496,share,simulation
age_range_count,10-14,436,count,simulation
age_range,10-14,0.0436,share,simulation
age_range_count,15-19,550,count,simulation
age_range,15-19,0.055,share,simulation
age_range_count,20-24,572,count,simulation
age_range,20-24,0.0572,share,simulation
age_range_count,25-29,763,count,simulation
age_range,25-29,0.0763,share,simulation
age_range_count,30-34,733,count,simulation
age_range,30-34,0.0733,share,simulation
age_range_count,35-39,595,count,simulation
age_range,35-39,0.0595,share,simulation
age_range_count,40-44,629,count,simulation
age_range,40-44,0.0629,share,simulation
age_range_count,45-49,584,count,simulation
age_range,45-49,0.0584,share,simulation
age_range_count,50-54,586,count,simulation
age_range,50-54,0.0586,share,simulation
age_range_count,55-59,672,count,simulation
age_range,55-59,0.0672,share,simulation
age_range_count,60-64,492,count,simulation
age_range,60-64,0.0492,share,simulation
age_range_count,65-69,504,count,simulation
age_range,65-69,0.0504,share,simulation
age_range_count,70-74,358,count,simulation
age_range,70-74,0.0358,share,simulation
age_range_count,75-79,353,count,simulation
age_range,75-79,0.0353,share,simulation
age_range_count,80-84,324,count,simulation
age_range,80-84,0.0324,share,simulation
age_range_count,85-89,271,count,simulation
age_range,85-89,0.0271,share,simulation
age_range_count,90-94,258,count,simulation
age_range,90-94,0.0258,share,simulation
age_range_count,95-99,259,count,simulation
age_range,95-99,0.0259,share,simulation
age_range_count,100-120,42,count,simulation
age_range,100-120,0.0042,share,simulation
district_count,Carrascal,488,count,simulation
district,Carrascal,0.12509612919764163,share,simulation
district_count,Fortuna,207,count,simulation
district,Fortuna,0.053063317098179956,share,simulation
district_count,Norte,340,count,simulation
district,Norte,0.08715713919507818,share,simulation
district_count,Polvoranca,191,count,simulation
district,Polvoranca,0.04896180466547039,share,simulation
district_count,San Nicasio,451,count,simulation
district,San Nicasio,0.11561138169700078,share,simulation
district_count,Sur,419,count,simulation
district,Sur,0.10740835683158165,share,simulation
district_count,Zarzaquemada,645,count,simulation
district,Zarzaquemada,0.1653422199436042,share,simulation
work_start_hour_count,6,1063,count,simulation
work_start_hour_share,6,0.1393002227755209,share,simulation
work_start_hour_count,7,1977,count,simulation
work_start_hour_share,7,0.2590748263661381,share,simulation
work_start_hour_count,8,2384,count,simulation
work_start_hour_share,8,0.31240990695845894,share,simulation
work_start_hour_count,9,1100,count,simulation
work_start_hour_share,9,0.14414886646573188,share,simulation
work_start_hour_count,10,614,count,simulation
work_start_hour_share,10,0.08046127637269034,share,simulation
work_start_hour_count,11,361,count,simulation
work_start_hour_share,11,0.04730703708557201,share,simulation
work_start_hour_count,12,132,count,simulation
work_start_hour_share,12,0.017297863975887826,share,simulation
work_end_hour_count,16,3972,count,simulation
work_end_hour_share,16,0.5205084523653518,share,simulation
work_end_hour_count,17,1585,count,simulation
work_end_hour_share,17,0.20770541213471366,share,simulation
work_end_hour_count,18,1020,count,simulation
work_end_hour_share,18,0.13366531254095138,share,simulation
work_end_hour_count,19,601,count,simulation
work_end_hour_share,19,0.07875769885991352,share,simulation
work_end_hour_count,20,290,count,simulation
work_end_hour_share,20,0.038002882977329316,share,simulation
work_end_hour_count,21,135,count,simulation
work_end_hour_share,21,0.017690997248067095,share,simulation
work_end_hour_count,22,28,count,simulation
work_end_hour_share,22,0.003669243873673175,share,simulation
