person_id,trip_id,purpose,mode,origin_type,origin_x,origin_y,dest_type,dest_x,dest_y,start_time,end_time,duration,status,path_cost,real_distance,wait_time
Person_497,Person_497_1,working,walking,home,8129.97452239044,3856.0707267278317,kindergarten,9080.274888624233,2485.4357551968696,2.88,2.88,0.0,COMPLETED,0,0,0
Person_527,Person_527_1,working,walking,home,8499.06651498974,3005.549047528962,kindergarten,8814.275893347078,2600.603644607052,2.88,2.88,0.0,COMPLETED,0,0,0
Person_1207,Person_1207_1,working,train,home,7959.490173800794,4009.002891287002,,8351.70415135049,2763.8378920000764,2.88,2.88,0.0,COMPLETED,0,0,0
Person_2703,Person_2703_1,working,walking,home,8321.24771473713,3552.3163182955814,school,8067.006196624861,3738.189414676249,2.88,2.88,0.0,COMPLETED,0,0,0
Person_3256,Person_3256_1,working,walking,home,7587.350634945911,3572.2928902866215,school,7672.964929315058,4256.21355070374,2.88,2.88,0.0,COMPLETED,0,0,0
Person_3638,Person_3638_1,working,train,home,7886.093750702132,2957.0687876992956,,8351.70415135049,2763.8378920000764,2.88,2.88,0.0,COMPLETED,0,0,0
Person_4294,Person_4294_1,working,train,home,7904.444228791297,5114.692978109715,,6383.066520287023,4062.6484057004186,2.88,2.88,0.0,COMPLETED,0,0,0
Person_4536,Person_4536_1,working,walking,home,7886.093750702132,2957.0687876992956,school,8771.070745378134,3029.6096100662385,2.88,2.88,0.0,COMPLETED,0,0,0
Person_4745,Person_4745_1,working,train,home,7946.513790019167,3179.3684424147596,,8351.70415135049,2763.8378920000764,2.88,2.88,0.0,COMPLETED,0,0,0
Person_6443,Person_6443_1,working,train,home,8176.634517436978,3326.5889510900847,,8351.70415135049,2763.8378920000764,2.88,2.88,0.0,COMPLETED,0,0,0
Person_8513,Person_8513_1,working,walking,home,6535.239337720573,4967.227681424232,university,5887.791508799354,2982.146731596164,2.88,2.88,0.0,COMPLETED,0,0,0
Person_9076,Person_9076_1,working,walking,home,7633.550805188194,3340.3659561996596,school,8893.280107574261,3448.459055170979,5.76,5.76,0.0,COMPLETED,0,0,0
Person_361,Person_361_1,working,car,home,8101.562530733059,3359.651645555498,university,6839.399852089795,3585.511730890991,2.88,8.64,5.760000000000001,COMPLETED,0,0,0
Person_3115,Person_3115_1,working,car,home,6514.901640139842,3710.857525916594,university,5908.061135515454,2983.961702940033,2.88,11.52,8.64,COMPLETED,0,0,0
Person_4296,Person_4296_1,working,car,home,7904.444228791297,5114.692978109715,city,10159.910029921817,195.30711077929786,2.88,14.4,11.52,COMPLETED,0,0,0
Person_5011,Person_5011_1,working,car,home,9032.553765730523,3380.4378974309852,city,10159.910029921817,195.30711077929786,2.88,14.4,11.52,COMPLETED,0,0,0
Person_9695,Person_9695_1,working,car,home,7824.296716924052,3572.9717502905314,city,10159.910029921817,195.30711077929786,2.88,14.4,11.52,COMPLETED,0,0,0
Person_2813,Person_2813_1,working,car,home,4771.159705068488,7798.325282355149,office,8656.432338710736,1332.5856960598185,2.88,17.28,14.400000000000002,COMPLETED,0,0,0
Person_5276,Person_5276_1,working,car,home,126.82488358348685,4319.6356930350885,yes,7277.050757593549,3461.366735244788,2.88,17.28,14.400000000000002,COMPLETED,0,0,0
Person_770,Person_770_1,working,car,home,5353.354199800306,2379.8123521985367,university,6980.17060882167,3727.0047244733337,2.88,20.16,17.28,COMPLETED,0,0,0
Person_7530,Person_7530_1,working,car,home,6350.58667772821,4322.282739885155,university,8680.422548567441,1236.9101943957473,2.88,20.16,17.28,COMPLETED,0,0,0
Person_8362,Person_8362_1,working,car,home,7920.790905834482,3872.433110523161,city,10159.910029921817,195.30711077929786,2.88,20.16,17.28,COMPLETED,0,0,0
Person_9529,Person_9529_1,working,car,home,10159.910029921817,195.30711077929786,university,6451.821586100195,3200.551272926657,2.88,20.16,17.28,COMPLETED,0,0,0
Person_1162,Person_1162_1,working,car,home,7288.5117714028,3643.8358789502167,yes,6544.499567906766,4110.494731286484,2.88,23.04,20.16,COMPLETED,0,0,0
Person_5346,Person_5346_1,working,car,home,9102.074554736135,3081.1688180687433,city,10159.910029921817,195.30711077929786,2.88,23.04,20.16,COMPLETED,0,0,0
Person_6931,Person_6931_1,working,car,home,10159.910029921817,195.30711077929786,school,5016.883744216048,983.1878128930324,2.88,23.04,20.16,COMPLETED,0,0,0
Person_2936,Person_2936_1,working,car,home,5728.155997329016,4978.215189637706,city,10159.910029921817,195.30711077929786,2.88,34.56,31.680000000000003,COMPLETED,0,0,0
Person_4674,Person_4674_1,working,car,home,7250.8323570610655,4147.304959703984,city,10159.910029921817,195.30711077929786,2.88,34.56,31.680000000000003,COMPLETED,0,0,0
Person_5125,Person_5125_1,working,car,home,8145.377330205615,3159.135668974215,city,10159.910029921817,195.30711077929786,2.88,34.56,31.680000000000003,COMPLETED,0,0,0
Person_279,Person_279_1,working,car,home,10159.910029921817,195.30711077929786,yes,7714.010580593976,4996.087865080769,2.88,37.44,34.559999999999995,COMPLETED,0,0,0
Person_7839,Person_7839_1,working,car,home,7415.081989332226,4724.486169391737,city,10159.910029921817,195.30711077929786,2.88,37.44,34.559999999999995,COMPLETED,0,0,0
Person_9553,Person_9553_1,working,car,home,126.82488358348685,4319.6356930350885,yes,7410.418319987588,3555.999675880792,2.88,37.44,34.559999999999995,COMPLETED,0,0,0
Person_9819,Person_9819_1,working,car,home,6951.495796089967,4454.1700670105065,city,10159.910029921817,195.30711077929786,2.88,37.44,34.559999999999995,COMPLETED,0,0,0
Person_9946,Person_9946_1,working,car,home,10159.910029921817,195.30711077929786,retail,7979.844645606951,3037.478622442292,2.88,37.44,34.559999999999995,COMPLETED,0,0,0
Person_1599,Person_1599_1,working,car,home,6660.277409347425,3510.8488051290974,city,10159.910029921817,195.30711077929786,2.88,40.32,37.44,COMPLETED,0,0,0
Person_4829,Person_4829_1,working,car,home,7854.035908370192,3588.2564580760777,school,8387.43177026821,2974.604694462084,2.88,40.32,37.44,COMPLETED,0,0,0
Person_5250,Person_5250_1,working,car,home,6362.931297901687,3566.5853973758317,city,126.82488358348685,4319.6356930350885,2.88,40.32,37.44,COMPLETED,0,0,0
Person_6485,Person_6485_1,working,car,home,7898.675549528855,4002.842506548398,city,10159.910029921817,195.30711077929786,2.88,40.32,37.44,COMPLETED,0,0,0
Person_7940,Person_7940_1,working,car,home,4065.2060983642004,1289.6729660000035,yes,5538.082631560068,764.0637355259679,2.88,40.32,37.44,COMPLETED,0,0,0
Person_8916,Person_8916_1,working,car,home,6673.665727606051,3925.1177703800913,city,10159.910029921817,195.30711077929786,2.88,40.32,37.44,COMPLETED,0,0,0
Person_9003,Person_9003_1,working,car,home,126.82488358348685,4319.6356930350885,university,5872.083656560459,2982.14688861395,2.88,40.32,37.44,COMPLETED,0,0,0
Person_9080,Person_9080_1,working,car,home,8966.800984932266,2520.47164560648,city,8982.539674594882,6224.04271922478,2.88,40.32,37.44,COMPLETED,0,0,0
Person_103,Person_103_1,working,car,home,7926.064165648223,3788.6572855809427,university,6753.286006283763,3714.7935438899995,2.88,43.2,40.32,COMPLETED,0,0,0
Person_751,Person_751_1,working,car,home,10159.910029921817,195.30711077929786,yes,5782.2645441987,889.1894776999864,2.88,43.2,40.32,COMPLETED,0,0,0
Person_1591,Person_1591_1,working,car,home,6568.978171535208,2180.145261295877,school,8471.482187556225,3236.157206254541,2.88,43.2,40.32,COMPLETED,0,0,0
Person_4162,Person_4162_1,working,car,home,10159.910029921817,195.30711077929786,yes,5552.524241931649,641.2092578054519,2.88,43.2,40.32,COMPLETED,0,0,0
Person_4629,Person_4629_1,working,car,home,4771.159705068488,7798.325282355149,yes,6434.105934251002,3493.585816867584,2.88,43.2,40.32,COMPLETED,0,0,0
Person_4662,Person_4662_1,working,car,home,8861.912723062407,2424.102913190418,city,10159.910029921817,195.30711077929786,2.88,43.2,40.32,COMPLETED,0,0,0
Person_5470,Person_5470_1,working,car,home,7868.505109906588,2912.043689479716,yes,7850.413771730718,3170.97122442201,2.88,43.2,40.32,COMPLETED,0,0,0
Person_5482,Person_5482_1,working,car,home,8324.2662785578,3199.1781560868017,yes,6211.359646717541,4463.660330984914,2.88,43.2,40.32,COMPLETED,0,0,0
Person_6101,Person_6101_1,working,car,home,7135.291216297609,4542.226898707921,school,8756.328364935112,2996.196013616982,2.88,43.2,40.32,COMPLETED,0,0,0
Person_8167,Person_8167_1,working,car,home,8834.592225560986,3136.9384490554785,yes,6025.740013255567,1056.7267707720923,2.88,43.2,40.32,COMPLETED,0,0,0
Person_9701,Person_9701_1,working,car,home,8668.149954256498,3135.8076972152553,yes,5012.087525240659,4915.2214310795425,2.88,43.2,40.32,COMPLETED,0,0,0
Person_9780,Person_9780_1,working,car,home,4850.050497347492,6034.638396567328,school,5481.46533899054,5945.610319223754,2.88,43.2,40.32,COMPLETED,0,0,0
Person_2117,Person_2117_1,working,car,home,10159.910029921817,195.30711077929786,kindergarten,6894.377262739245,4562.107792110269,2.88,46.08,43.199999999999996,COMPLETED,0,0,0
Person_2419,Person_2419_1,working,car,home,4771.159705068488,7798.325282355149,yes,6141.4594921707885,4482.12443331482,2.88,46.08,43.199999999999996,COMPLETED,0,0,0
Person_3026,Person_3026_1,working,car,home,7040.107857602565,3906.8165266289147,school,6481.039182386581,4685.228539221363,2.88,46.08,43.199999999999996,COMPLETED,0,0,0
Person_3053,Person_3053_1,working,car,home,6591.949021882279,4572.348634015791,university,8680.422548567441,1236.9101943957473,2.88,46.08,43.199999999999996,COMPLETED,0,0,0
Person_5288,Person_5288_1,working,car,home,6788.097450116277,3930.764865631222,city,10159.910029921817,195.30711077929786,2.88,46.08,43.199999999999996,COMPLETED,0,0,0
Person_6329,Person_6329_1,working,car,home,10159.910029921817,195.30711077929786,kindergarten,8588.876066519004,2384.539250749051,2.88,46.08,43.199999999999996,COMPLETED,0,0,0
Person_6750,Person_6750_1,working,car,home,7928.7208047964095,2514.0675876145133,city,10159.910029921817,195.30711077929786,2.88,46.08,43.199999999999996,COMPLETED,0,0,0
Person_7896,Person_7896_1,working,car,home,10159.910029921817,195.30711077929786,yes,7210.422276963385,3759.81734197516,2.88,46.08,43.199999999999996,COMPLETED,0,0,0
Person_589,Person_589_1,working,car,home,6557.58715435578,3644.575232494331,yes,6602.9253466561295,4084.0873677525183,2.88,48.96,46.08,COMPLETED,0,0,0
Person_2184,Person_2184_1,working,car,home,8172.464297626332,3264.043776393133,kindergarten,8814.275893347078,2600.603644607052,2.88,48.96,46.08,COMPLETED,0,0,0
Person_2266,Person_2266_1,working,car,home,126.82488358348685,4319.6356930350885,school,8893.280107574261,3448.459055170979,2.88,48.96,46.08,COMPLETED,0,0,0
Person_3022,Person_3022_1,working,car,home,126.82488358348685,4319.6356930350885,yes,8587.727685225269,3725.2078942027742,2.88,48.96,46.08,COMPLETED,0,0,0
Person_3461,Person_3461_1,working,car,home,5646.545766035168,767.1073663556565,city,10159.910029921817,195.30711077929786,2.88,48.96,46.08,COMPLETED,0,0,0
Person_4907,Person_4907_1,working,car,home,10159.910029921817,195.30711077929786,school,7876.742569302692,4220.762789429215,2.88,48.96,46.08,COMPLETED,0,0,0
Person_7167,Person_7167_1,working,car,home,10159.910029921817,195.30711077929786,yes,7181.644685669115,3689.8845224010897,2.88,48.96,46.08,COMPLETED,0,0,0
Person_7338,Person_7338_1,working,car,home,6207.984708920614,2549.1176605125174,kindergarten,8814.275893347078,2600.603644607052,2.88,48.96,46.08,COMPLETED,0,0,0
Person_151,Person_151_1,working,car,home,5449.084121625644,2870.567181795508,city,10159.910029921817,195.30711077929786,2.88,51.84,48.96,COMPLETED,0,0,0
Person_2101,Person_2101_1,working,car,home,5906.622980154647,964.7483574069304,city,10159.910029921817,195.30711077929786,2.88,51.84,48.96,COMPLETED,0,0,0
