event_type,time,entity_id,related_id,details,extra_1,extra_2
TAXI_QUEUE_SNAPSHOT,0.0,switchboard,queue,0,0.0,12
SCHEDULE_WORK_DEPARTURE,0.0,Person_16,kindergarten,start_work:6|delay_min:6,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_17,city,start_work:6|delay_min:11,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_50,city,start_work:6|delay_min:22,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_54,city,start_work:6|delay_min:27,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_61,city,start_work:6|delay_min:14,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_71,yes,start_work:6|delay_min:23,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_78,city,start_work:6|delay_min:27,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_85,yes,start_work:6|delay_min:9,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_120,city,start_work:6|delay_min:26,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_141,school,start_work:6|delay_min:8,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_149,city,start_work:6|delay_min:4,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_163,university,start_work:6|delay_min:4,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_208,yes,start_work:6|delay_min:3,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_227,university,start_work:6|delay_min:26,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_236,yes,start_work:6|delay_min:2,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_252,city,start_work:6|delay_min:16,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_254,university,start_work:6|delay_min:29,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_283,university,start_work:6|delay_min:2,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_298,university,start_work:6|delay_min:23,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_307,city,start_work:6|delay_min:3,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_312,city,start_work:6|delay_min:1,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_344,city,start_work:6|delay_min:5,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_348,university,start_work:6|delay_min:10,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_379,industrial,start_work:6|delay_min:11,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_393,yes,start_work:6|delay_min:4,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_398,city,start_work:6|delay_min:30,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_399,kindergarten,start_work:6|delay_min:15,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_426,industrial,start_work:6|delay_min:18,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_429,yes,start_work:6|delay_min:24,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_442,industrial,start_work:6|delay_min:12,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_463,city,start_work:6|delay_min:18,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_465,city,start_work:6|delay_min:4,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_477,yes,start_work:6|delay_min:12,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_490,yes,start_work:6|delay_min:10,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_507,city,start_work:6|delay_min:10,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_534,city,start_work:6|delay_min:3,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_550,yes,start_work:6|delay_min:3,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_572,city,start_work:6|delay_min:27,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_575,yes,start_work:6|delay_min:3,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_602,city,start_work:6|delay_min:17,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_624,city,start_work:6|delay_min:8,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_632,university,start_work:6|delay_min:21,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_651,city,start_work:6|delay_min:25,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_660,industrial,start_work:6|delay_min:7,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_664,city,start_work:6|delay_min:10,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_679,city,start_work:6|delay_min:26,0,0
