metric_group,metric_name,metric_value,metric_unit,source
population,total_people,10000,count,simulation
population,total_households,3901,count,simulation
population,total_workers,7660,count,simulation
household_size_count,1 persona,869,count,simulation
household_size_count,2 personas,1190,count,simulation
household_size_count,3 personas,867,count,simulation
household_size_count,4 personas,725,count,simulation
household_size_count,5 o mas personas,250,count,simulation
household_size,1 persona,0.22276339400153808,share,simulation
household_size,2 personas,0.30504998718277365,share,simulation
household_size,3 personas,0.22225070494744936,share,simulation
household_size,4 personas,0.185849782107152,share,simulation
household_size,5 o mas personas,0.0640861317610869,share,simulation
household_type_count,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,976,count,simulation
household_type,Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años,0.25019225839528325,share,simulation
household_type_count,Hogar formado por pareja sin hijos,808,count,simulation
household_type,Hogar formado por pareja sin hijos,0.20712637785183285,share,simulation
household_type_count,Otro tipo de hogar,270,count,simulation
household_type,Otro tipo de hogar,0.06921302230197385,share,simulation
household_type_count,Hogar con una mujer sola de 65 años o más,332,count,simulation
household_type,Hogar con una mujer sola de 65 años o más,0.0851063829787234,share,simulation
household_type_count,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),255,count,simulation
household_type,Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(s),0.06536785439630864,share,simulation
household_type_count,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,231,count,simulation
household_type,Hogar con un solo progenitor que convive con algún hijo menor de 25 años,0.059215585747244295,share,simulation
household_type_count,Hogar con un hombre solo menor de 65 años,242,count,simulation
household_type,Hogar con un hombre solo menor de 65 años,0.06203537554473212,share,simulation
household_type_count,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,193,count,simulation
household_type,Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más,0.04947449371955909,share,simulation
household_type_count,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,299,count,simulation
household_type,Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más,0.07664701358625993,share,simulation
household_type_count,Hogar con un hombre solo de 65 años o más,95,count,simulation
household_type,Hogar con un hombre solo de 65 años o más,0.024352730069213024,share,simulation
household_type_count,Hogar con una mujer sola menor de 65 años,200,count,simulation
household_type,Hogar con una mujer sola menor de 65 años,0.05126890540886952,share,simulation
gender_count,male,4739,count,simulation
gender,male,0.4739,share,simulation
gender_count,female,5261,count,simulation
gender,female,0.5261,share,simulation
age_range_count,0-4,489,count,simulation
age_range,0-4,0.0489,share,simulation
age_range_count,5-9,484,count,simulation
age_range,5-9,0.0484,share,simulation
age_range_count,10-14,457,count,simulation
age_range,10-14,0.0457,share,simulation
age_range_count,15-19,557,count,simulation
age_range,15-19,0.0557,share,simulation
age_range_count,20-24,577,count,simulation
age_range,20-24,0.0577,share,simulation
age_range_count,25-29,737,count,simulation
age_range,25-29,0.0737,share,simulation
age_range_count,30-34,730,count,simulation
age_range,30-34,0.073,share,simulation
age_range_count,35-39,576,count,simulation
age_range,35-39,0.0576,share,simulation
age_range_count,40-44,572,count,simulation
age_range,40-44,0.0572,share,simulation
age_range_count,45-49,612,count,simulation
age_range,45-49,0.0612,share,simulation
age_range_count,50-54,668,count,simulation
age_range,50-54,0.0668,share,simulation
age_range_count,55-59,674,count,simulation
age_range,55-59,0.0674,share,simulation
age_range_count,60-64,527,count,simulation
age_range,60-64,0.0527,share,simulation
age_range_count,65-69,573,count,simulation
age_range,65-69,0.0573,share,simulation
age_range_count,70-74,455,count,simulation
age_range,70-74,0.0455,share,simulation
age_range_count,75-79,366,count,simulation
age_range,75-79,0.0366,share,simulation
age_range_count,80-84,273,count,simulation
age_range,80-84,0.0273,share,simulation
age_range_count,85-89,267,count,simulation
age_range,85-89,0.0267,share,simulation
age_range_count,90-94,188,count,simulation
age_range,90-94,0.0188,share,simulation
age_range_count,95-99,169,count,simulation
age_range,95-99,0.0169,share,simulation
age_range_count,100-120,49,count,simulation
age_range,100-120,0.0049,share,simulation
district_count,Carrascal,497,count,simulation
district,Carrascal,0.12740322994104075,share,simulation
district_count,Fortuna,185,count,simulation
district,Fortuna,0.047423737503204305,share,simulation
district_count,Norte,285,count,simulation
district,Norte,0.07305819020763907,share,simulation
district_count,Polvoranca,175,count,simulation
district,Polvoranca,0.04486029223276083,share,simulation
district_count,San Nicasio,454,count,simulation
district,San Nicasio,0.11638041527813381,share,simulation
district_count,Sur,413,count,simulation
district,Sur,0.10587028966931555,share,simulation
district_count,Zarzaquemada,694,count,simulation
district,Zarzaquemada,0.17790310176877724,share,simulation
work_start_hour_count,6,1121,count,simulation
work_start_hour_share,6,0.14634464751958223,share,simulation
work_start_hour_count,7,1960,count,simulation
work_start_hour_share,7,0.2558746736292428,share,simulation
work_start_hour_count,8,2254,count,simulation
work_start_hour_share,8,0.29425587467362924,share,simulation
work_start_hour_count,9,1189,count,simulation
work_start_hour_share,9,0.1552219321148825,share,simulation
work_start_hour_count,10,609,count,simulation
work_start_hour_share,10,0.07950391644908616,share,simulation
work_start_hour_count,11,390,count,simulation
work_start_hour_share,11,0.050913838120104436,share,simulation
work_start_hour_count,12,137,count,simulation
work_start_hour_share,12,0.017885117493472585,share,simulation
work_end_hour_count,15,1218,count,simulation
work_end_hour_share,15,0.15900783289817233,share,simulation
work_end_hour_count,16,1856,count,simulation
work_end_hour_share,16,0.2422976501305483,share,simulation
work_end_hour_count,17,1768,count,simulation
work_end_hour_share,17,0.2308093994778068,share,simulation
work_end_hour_count,18,1279,count,simulation
work_end_hour_share,18,0.16697127937336814,share,simulation
work_end_hour_count,19,775,count,simulation
work_end_hour_share,19,0.10117493472584857,share,simulation
work_end_hour_count,20,379,count,simulation
work_end_hour_share,20,0.04947780678851175,share,simulation
work_end_hour_count,21,241,count,simulation
work_end_hour_share,21,0.031462140992167105,share,simulation
work_end_hour_count,22,144,count,simulation
work_end_hour_share,22,0.018798955613577025,share,simulation
