person_id,trip_id,purpose,mode,origin_type,origin_x,origin_y,dest_type,dest_x,dest_y,start_time,end_time,duration,status,path_cost,real_distance,wait_time
Person_27,Person_27_1,working,walking,home,6417.454798054926,2243.502038560247,school,6932.920012622823,4765.975327657057,2.88,2.88,0.0,COMPLETED,0,0,0
Person_947,Person_947_1,working,walking,home,7933.276767132663,3856.9488514476766,school,8038.675694283114,5107.462994554739,2.88,2.88,0.0,COMPLETED,0,0,0
Person_1944,Person_1944_1,working,walking,home,8092.4424099360085,4002.0659959651725,yes,6116.014713267462,3643.4239035490173,2.88,2.88,0.0,COMPLETED,0,0,0
Person_2071,Person_2071_1,working,walking,home,8072.518063734796,2867.6763305368913,yes,5784.135605691108,6551.214640581127,2.88,2.88,0.0,COMPLETED,0,0,0
Person_3003,Person_3003_1,working,walking,home,7944.653221985094,3087.867054899304,university,5872.083656560459,2982.14688861395,2.88,2.88,0.0,COMPLETED,0,0,0
Person_3204,Person_3204_1,working,walking,home,6677.435559340927,4670.334722536851,yes,5511.8316763240155,744.2495967436644,2.88,2.88,0.0,COMPLETED,0,0,0
Person_3257,Person_3257_1,working,train,home,7903.079310116366,3187.477460001197,,8351.70415135049,2763.8378920000764,2.88,2.88,0.0,COMPLETED,0,0,0
Person_4747,Person_4747_1,working,walking,home,7106.89457676686,1903.5601210774803,yes,6360.89411232984,3925.7586598254497,2.88,2.88,0.0,COMPLETED,0,0,0
Person_4807,Person_4807_1,working,walking,home,5421.643626293593,2747.178751896736,industrial,8532.478990043392,5064.4841786109455,2.88,2.88,0.0,COMPLETED,0,0,0
Person_5668,Person_5668_1,working,walking,home,5415.950024966604,2767.107762957859,kindergarten,9080.274888624233,2485.4357551968696,2.88,2.88,0.0,COMPLETED,0,0,0
Person_5898,Person_5898_1,working,walking,home,6877.1041053979,4063.161685809008,yes,6885.33381510893,4787.499287658236,2.88,2.88,0.0,COMPLETED,0,0,0
Person_6783,Person_6783_1,working,train,home,5436.497307621919,2852.01760959401,,6383.066520287023,4062.6484057004186,2.88,2.88,0.0,COMPLETED,0,0,0
Person_28,Person_28_1,working,train,home,6417.454798054926,2243.502038560247,,6383.066520287023,4062.6484057004186,5.76,5.76,0.0,COMPLETED,0,0,0
Person_3993,Person_3993_1,working,walking,home,7931.721161898706,3947.671630251005,university,6850.81127161198,3522.934095561738,5.76,5.76,0.0,COMPLETED,0,0,0
Person_3139,Person_3139_1,working,car,home,10159.910029921817,195.30711077929786,yes,6984.406020181173,2103.6748872761545,2.88,14.4,11.52,COMPLETED,0,0,0
Person_3805,Person_3805_1,working,car,home,7017.838158708111,4142.089718966699,city,10159.910029921817,195.30711077929786,2.88,14.4,11.52,COMPLETED,0,0,0
Person_8802,Person_8802_1,working,car,home,4771.159705068488,7798.325282355149,industrial,6059.462552339254,4492.838441542916,2.88,14.4,11.52,COMPLETED,0,0,0
Person_9182,Person_9182_1,working,car,home,8876.21465372715,2614.7553626519,school,6228.590221566115,4781.895669395267,2.88,14.4,11.52,COMPLETED,0,0,0
Person_7005,Person_7005_1,working,car,home,5462.481561878936,1153.5632488328315,kindergarten,8588.876066519004,2384.539250749051,2.88,17.28,14.400000000000002,COMPLETED,0,0,0
Person_4515,Person_4515_1,working,car,home,7102.932357893527,4144.861490330406,yes,6108.285225100381,3482.3503377315533,2.88,20.16,17.28,COMPLETED,0,0,0
Person_5637,Person_5637_1,working,car,home,7614.090691664729,5437.952194595118,city,10159.910029921817,195.30711077929786,5.76,20.16,14.4,COMPLETED,0,0,0
Person_1182,Person_1182_1,working,car,home,4771.159705068488,7798.325282355149,yes,6685.864000410015,4195.121393440525,2.88,28.8,25.92,COMPLETED,0,0,0
Person_2974,Person_2974_1,working,car,home,126.82488358348685,4319.6356930350885,university,5908.061135515454,2983.961702940033,2.88,28.8,25.92,COMPLETED,0,0,0
Person_3751,Person_3751_1,working,car,home,10159.910029921817,195.30711077929786,school,6178.314596811026,2972.721994299326,2.88,28.8,25.92,COMPLETED,0,0,0
Person_7949,Person_7949_1,working,car,home,8070.201332924146,2925.1269864213205,university,5908.061135515454,2983.961702940033,2.88,28.8,25.92,COMPLETED,0,0,0
Person_1105,Person_1105_1,working,car,home,8100.2524828443375,3024.7277567981496,city,10159.910029921817,195.30711077929786,2.88,31.68,28.8,COMPLETED,0,0,0
Person_5287,Person_5287_1,working,car,home,10159.910029921817,195.30711077929786,industrial,8808.22096198515,4584.654212819476,2.88,31.68,28.8,COMPLETED,0,0,0
Person_6741,Person_6741_1,working,car,home,10159.910029921817,195.30711077929786,hospital,6543.406530713209,5053.518357051792,2.88,31.68,28.8,COMPLETED,0,0,0
Person_5199,Person_5199_1,working,car,home,8982.539674594882,6224.04271922478,university,6753.286006283763,3714.7935438899995,5.76,34.56,28.800000000000004,COMPLETED,0,0,0
Person_4361,Person_4361_1,working,car,home,5718.037698131825,4970.3623592095555,university,6839.399852089795,3585.511730890991,2.88,37.44,34.559999999999995,COMPLETED,0,0,0
Person_6868,Person_6868_1,working,car,home,4065.2060983642004,1289.6729660000035,school,7526.775593773133,4035.0478456201936,2.88,37.44,34.559999999999995,COMPLETED,0,0,0
Person_8425,Person_8425_1,working,car,home,8142.591791539355,2942.5325137007335,city,8982.539674594882,6224.04271922478,2.88,37.44,34.559999999999995,COMPLETED,0,0,0
Person_9199,Person_9199_1,working,car,home,7648.9877448429215,4021.376722457708,city,10159.910029921817,195.30711077929786,2.88,37.44,34.559999999999995,COMPLETED,0,0,0
Person_4313,Person_4313_1,working,car,home,7915.17716429747,3323.196214732355,city,10159.910029921817,195.30711077929786,2.88,40.32,37.44,COMPLETED,0,0,0
Person_4832,Person_4832_1,working,car,home,8306.323485688115,3685.982328510169,school,8006.898798454077,4007.681736086175,2.88,40.32,37.44,COMPLETED,0,0,0
